Date,Open,High,Low,Close,Volume
28-Mar-25,967.85,976.45,942.05,948.65,"40,83,088"
27-Mar-25,910,966.6,905.2,959.9,"59,18,219"
26-Mar-25,921.95,942,910,912.1,"31,94,761"
25-Mar-25,959,966,916,923.4,"35,04,686"
24-Mar-25,972,981,949.05,952.9,"36,32,791"
21-Mar-25,925,983.35,920.55,954.25,"81,47,557"
20-Mar-25,920.3,927.95,902.05,923.4,"32,10,117"
19-Mar-25,904.05,918.75,901.4,911.2,"29,80,425"
18-Mar-25,904.7,911.9,889.1,900.9,"42,22,109"
17-Mar-25,873.65,908.45,868.85,896.45,"59,03,492"
13-Mar-25,874,896.85,858,873.65,"1,17,79,180"
12-Mar-25,834.4,858,806.35,853.45,"48,26,264"
11-Mar-25,819.25,834.35,810.6,824.2,"34,95,317"
10-Mar-25,840.9,871,823.25,826.05,"65,95,111"
07-Mar-25,840,847.3,823.15,837.2,"60,78,435"
06-Mar-25,868.8,872.45,836,845.95,"1,01,66,566"
05-Mar-25,769,857.9,769,848.7,"1,79,02,240"
04-Mar-25,783.2,796.65,765.6,768.55,"77,26,332"
03-Mar-25,775,808.8,758,804.1,"57,20,645"
28-Feb-25,795.1,815,760.15,774.4,"4,39,47,584"
27-Feb-25,848.65,859.45,806.3,811.75,"56,12,214"
25-Feb-25,836.5,867,828.65,840.65,"52,99,509"
24-Feb-25,840,842.7,819.1,836.05,"36,82,290"
21-Feb-25,864.95,877,841,849.35,"28,95,228"
20-Feb-25,861,883.95,845,864.95,"34,99,937"
19-Feb-25,875.25,885.85,860.95,864.7,"41,21,742"
18-Feb-25,899,904.9,870.1,897.55,"27,18,141"
17-Feb-25,878.95,900.85,840.45,890.35,"43,43,277"
14-Feb-25,920,923.65,873,884.4,"28,74,948"
13-Feb-25,927.05,945.95,908.05,913.75,"24,74,769"
12-Feb-25,950.05,956.95,897.05,916.9,"40,95,054"
11-Feb-25,965,985.9,938.05,946.2,"37,70,394"
10-Feb-25,996,998.95,950.05,954.05,"15,27,205"
07-Feb-25,999.9,"1,009.55",984.1,989.5,"12,38,324"
06-Feb-25,"1,025.90","1,025.90",993.5,997.6,"10,97,383"
05-Feb-25,987.05,"1,028.70",987.05,"1,017.80","24,34,579"
04-Feb-25,973.2,990,973.2,983.15,"13,33,100"
03-Feb-25,994.9,994.9,967.5,970.1,"16,72,435"
01-Feb-25,"1,010.00","1,049.90",986,996.5,"42,30,202"
31-Jan-25,973.9,"1,006.80",971.55,997.55,"31,23,886"
30-Jan-25,986,"1,001.90",965.7,971.85,"18,71,049"
29-Jan-25,989,"1,006.35",982.4,987.65,"18,65,241"
28-Jan-25,999,"1,012.75",965.7,987.3,"21,02,556"
27-Jan-25,995.1,"1,003.00",982.95,998.95,"22,86,903"
24-Jan-25,"1,037.25","1,065.00","1,006.00","1,012.10","49,78,974"
23-Jan-25,"1,026.00","1,049.40","1,015.00","1,030.25","30,52,259"
22-Jan-25,"1,040.00","1,042.80","1,007.00","1,031.70","26,56,247"
21-Jan-25,"1,063.30","1,070.00","1,037.75","1,045.70","19,85,986"
20-Jan-25,"1,082.00","1,088.00","1,054.25","1,066.75","24,63,260"
17-Jan-25,"1,078.90","1,089.50","1,056.15","1,078.20","34,86,290"
16-Jan-25,"1,107.05","1,127.00","1,063.40","1,070.25","70,83,726"
15-Jan-25,"1,040.00","1,080.00","1,023.50","1,035.05","1,32,79,463"
14-Jan-25,898.05,"1,018.40",897.5,"1,006.85","1,71,98,310"
13-Jan-25,937.8,937.8,885,889.75,"26,18,478"
10-Jan-25,970.05,977.5,940.4,943.05,"20,96,676"
09-Jan-25,989.5,"1,002.00",975.1,977.7,"12,37,540"
08-Jan-25,"1,010.00","1,011.55",981,988.95,"17,02,163"
07-Jan-25,986.95,"1,014.80",985.1,"1,005.50","26,37,204"
06-Jan-25,"1,039.00","1,040.50",980,982.6,"33,22,540"
03-Jan-25,"1,049.65","1,069.90","1,036.00","1,038.25","21,43,236"
02-Jan-25,"1,048.00","1,055.90","1,035.00","1,046.50","14,15,783"
01-Jan-25,"1,040.70","1,060.00","1,038.95","1,046.40","15,60,588"
31-Dec-24,"1,070.95","1,070.95","1,029.00","1,040.70","25,89,661"
30-Dec-24,"1,060.00","1,113.70","1,042.00","1,075.65","69,74,681"
27-Dec-24,"1,065.00","1,076.65","1,044.25","1,054.00","28,71,766"
26-Dec-24,"1,030.25","1,082.20","1,023.00","1,064.25","56,14,636"
24-Dec-24,"1,035.60","1,059.05","1,020.00","1,031.05","24,94,981"
23-Dec-24,"1,049.70","1,057.95","1,023.60","1,034.65","27,75,914"
20-Dec-24,"1,074.90","1,119.00","1,015.10","1,034.35","1,43,40,608"
19-Dec-24,"1,080.00","1,103.55","1,062.55","1,073.65","29,38,214"
18-Dec-24,"1,145.05","1,150.00","1,102.00","1,105.50","26,54,966"
17-Dec-24,"1,167.90","1,178.95","1,138.00","1,143.25","23,03,877"
